id,union_id,name
50,PNGUM,Central Papua Conference
50,PNGUM,Eastern Highlands Simbu Mission
50,PNGUM,Madang Manus Mission
50,PNGUM,Morobe Mission
50,PNGUM,New Britain New Ireland Mission
50,PNGUM,Northern and Milne Bay Mission
50,PNGUM,Papua New Guinea Union Mission
50,PNGUM,Sepik Mission
50,PNGUM,South West Papua Mission
50,PNGUM,Western Highlands Mission
51,BRUC,British Union Conference
51,BRUC,Irish Mission
51,BRUC,North England Conference
51,BRUC,Scottish Mission
51,BRUC,South England Conference
51,BRUC,Welsh Mission
52,BUKC,Bukovinskaya Conference
53,BUOC,Bulgarian Union of Churches Conference
54,BURM,Burundi Union Mission
54,BURM,East Burundi Field
54,BURM,North Burundi Field
54,BURM,North-West Burundi Field
54,BURM,South-West Burundi Field
55,SCAU,Caribbean Costa Rica Mission
55,SCAU,South-Central Costa Rica Conference
55,SCAU,Central Nicaragua Mission
55,SCAU,North Costa Rica Conference
55,SCAU,Northwestern Nicaragua Mission
55,SCAU,South Atlantic Nicaragua Mission
55,SCAU,South Central American Union Mission
56,SEMU,Campeche Conference
56,SEMU,East Tabasco Mission
56,SEMU,South Tabasco Conference
56,SEMU,Mayab Conference
56,SEMU,North Quintana Roo Conference
56,SEMU,South Quintana Roo Mission
56,SEMU,Southeast Mexican Union Mission
56,SEMU,Central Tabasco Conference
57,CEAF,Congo Mission
57,CEAF,Central African Republic Mission
57,CEAF,Central African Union Mission
57,CEAF,Chad Mission
57,CEAF,Equatorial Guinea Mission
57,CEAF,Gabon Mission
58,SPEU,Central Peru Mission
58,SPEU,Central South Peru Mission
58,SPEU,East Peru Mission
58,SPEU,Lake Titicaca Peru Mission
58,SPEU,Central Peru Conference
58,SPEU,Southeast Peru Mission
58,SPEU,South Peru Union Mission
58,SPEU,South Peru Mission
59,VAUM,Central Andean Venezuela Mission
59,VAUM,East Andean Venezuela Mission
59,VAUM,West Los Llanos Venezuela Conference
59,VAUM,North Central Venezuela Conference
59,VAUM,Northwestern Venezuela Mission
59,VAUM,Portuguese Venezuela Mission
59,VAUM,Southwest Venezuela Conference
59,VAUM,West Venezuela Union Mission
59,VAUM,West Central Venezuela Conference
59,VAUM,West Venezuela Conference
59,VAUM,Yaracuy Venezuela Mission
60,SAUC,Cape Conference
60,SAUC,KwaZulu Natal-Free State Conference
60,SAUC,Lesotho Conference
60,SAUC,Namibia South Conference
60,SAUC,Namibia North Conference
60,SAUC,Southern Africa Union Conference
60,SAUC,Eswatini Conference
60,SAUC,Trans-Orange Conference
60,SAUC,Northern Conference
61,CAUU,Caucasus Union Mission
61,CAUU,Kubano-Chernomorskaya Conference
61,CAUU,North Caucasus Mission
61,CAUU,Rostov-Kalmykia Conference
62,NPUM,Cavite Mission
62,NPUM,Central Luzon Conference
62,NPUM,Mountain Provinces Mission
62,NPUM,Northeast Luzon Mission
62,NPUM,Northern Luzon Mission
62,NPUM,North Philippine Union Conference
62,NPUM,Palawan Mission
62,NPUM,South-Central Luzon Conference
62,NPUM,Southern Luzon Mission
63,WCBU,Central Brazil Conference
63,WCBU,Central Planalto Conference
63,WCBU,East Mato Grosso Conference
63,WCBU,South Mato Grosso Conference
63,WCBU,Tocantins Mission
63,WCBU,West Central Brazil Union Mission
63,WCBU,West Mato Grosso Mission
64,CBUC,Central Brazil Union Conference
64,CBUC,Central Sao Paulo Conference
64,CBUC,East Sao Paulo Conference
64,CBUC,Southeast Sao Paulo Conference
64,CBUC,Sao Paulo Conference
64,CBUC,Sao Paulo Valley Conference
64,CBUC,South Sao Paulo Conference
64,CBUC,Southwest Sao Paulo Conference
64,CBUC,West Sao Paulo Conference
65,SMUC,Central Chiapas Conference
65,SMUC,Grijalva Conference
65,SMUC,North Chiapas Conference
65,SMUC,Palenque Mission
65,SMUC,South Chiapas Conference
65,SMUC,Soconusco Conference
65,SMUC,Chiapas Mexican Union Conference
65,SMUC,Upper Chiapas Conference
65,SMUC,West Chiapas Conference
66,DMUM,Central Dominican Conference
66,DMUM,Dominican Union Conference
66,DMUM,East Dominican Conference
66,DMUM,North Dominican Conference
66,DMUM,Northeast Dominican Conference
66,DMUM,South Dominican Conference
66,DMUM,Southeast Dominican Conference
67,SOCO,Central Colombian Conference
67,SOCO,East Los Llanos Conference
67,SOCO,Northwestern Bogota and Boyaca Mission
67,SOCO,Pacific Colombian Conference
67,SOCO,South Bogota Conference
67,SOCO,South Colombian Conference
67,SOCO,South Andean Mission
67,SOCO,South Colombian Union Conference
67,SOCO,South Pacific Mission
67,SOCO,Upper Magdalena Conference
68,WAUM,Central Liberia Mission
68,WAUM,Guinea Region
68,WAUM,South-East Liberia Mission
68,WAUM,Sierra Leone Conference
68,WAUM,South-West Liberia Conference
68,WAUM,West African Union Mission
69,ELSA,Central El Salvador Conference
69,ELSA,East El Salvador Conference
69,ELSA,El Salvador Union Mission
69,ELSA,Metropolitan El Salvador Conference
69,ELSA,Paracentral El Salvador Conference
69,ELSA,West El Salvador Conference
70,ENET,Central Ethiopia Field
70,ENET,Northwest Ethiopia Field
70,ENET,South Central Ethiopia Field
70,ENET,South East Ethiopia Field
70,ENET,South Ethiopia Field
70,ENET,South Green Ethiopia Field
70,ENET,South Shewa Ethiopia Field
70,ENET,North Ethiopia Field
71,STAU,Central Tanzania Field
71,STAU,East-Central Tanzania Conference
71,STAU,Lake Tanganyika Field
71,STAU,South-East Tanzania Conference
71,STAU,Southern Tanzania Union Mission
71,STAU,Southern Highlands Conference
72,EVAU,Central East Venezuela Conference
72,EVAU,Central Llanos Venezuela Mission
72,EVAU,Central Venezuela Conference
72,EVAU,East Venezuela Union Mission
72,EVAU,East Venezuela Conference
72,EVAU,Northeast Venezuela Mission
72,EVAU,South Central Venezuela Conference
72,EVAU,Southeast Venezuela Conference
72,EVAU,South Bolivar Venezuela Mission
73,WCUM,Congo Equatorial Field
73,WCUM,Central Kasai Field
73,WCUM,Lower Congo Field
73,WCUM,West Congo Field
73,WCUM,West Congo Union Mission
73,WCUM,West Kasai Field
74,NGUC,Berlin-Central German Conference
74,NGUC,Hanseatic Conference
74,NGUC,North German Union Conference
74,NGUC,Northern Rhenish-Westfalian Conference
75,HAUM,Central Haiti Conference
75,HAUM,Haitian Union Mission
75,HAUM,North Haiti Mission
75,HAUM,Northwest Haiti Mission
75,HAUM,Plaine du cul de Sac Mission
75,HAUM,South Haiti Mission
76,CHIN,China
77,SIUS,Kanchipuram-Chengalpattu Section
77,SIUS,Chennai Metro Section
